0.0000   0.0000
-0.0154   0.0101
-0.0302   0.0202
-0.0445   0.0303
-0.0583   0.0404
-0.0718   0.0505
-0.0851   0.0606
-0.0983   0.0707
-0.1115   0.0808
-0.1247   0.0909
-0.1381   0.1010
-0.1515   0.1111
-0.1651   0.1212
-0.1789   0.1313
-0.1927   0.1414
-0.2065   0.1515
-0.2202   0.1616
-0.2337   0.1717
-0.2468   0.1818
-0.2593   0.1919
-0.2712   0.2020
-0.2822   0.2121
-0.2922   0.2222
-0.3010   0.2323
-0.3084   0.2424
-0.3144   0.2525
-0.3188   0.2626
-0.3216   0.2727
-0.3228   0.2828
-0.3222   0.2929
-0.3201   0.3030
-0.3164   0.3131
-0.3112   0.3232
-0.3046   0.3333
-0.2969   0.3434
-0.2880   0.3535
-0.2783   0.3636
-0.2678   0.3737
-0.2566   0.3838
-0.2450   0.3939
-0.2331   0.4040
-0.2209   0.4141
-0.2085   0.4242
-0.1961   0.4343
-0.1837   0.4444
-0.1713   0.4545
-0.1590   0.4646
-0.1468   0.4747
-0.1347   0.4848
-0.1228   0.4949
-0.1109   0.5051
-0.0991   0.5152
-0.0874   0.5253
-0.0757   0.5354
-0.0641   0.5455
-0.0526   0.5556
-0.0410   0.5657
-0.0294   0.5758
-0.0178   0.5859
-0.0061   0.5960
0.0056   0.6061
0.0173   0.6162
0.0291   0.6263
0.0410   0.6364
0.0530   0.6465
0.0650   0.6566
0.0771   0.6667
0.0892   0.6768
0.1014   0.6869
0.1136   0.6970
0.1258   0.7071
0.1379   0.7172
0.1501   0.7273
0.1622   0.7374
0.1742   0.7475
0.1860   0.7576
0.1978   0.7677
0.2093   0.7778
0.2207   0.7879
0.2318   0.7980
0.2426   0.8081
0.2532   0.8182
0.2635   0.8283
0.2736   0.8384
0.2836   0.8485
0.2937   0.8586
0.3043   0.8687
0.3159   0.8788
0.3292   0.8889
0.3454   0.8990
0.3659   0.9091
0.3927   0.9192
0.4278   0.9293
0.4736   0.9394
0.5320   0.9495
0.6045   0.9596
0.6908   0.9697
0.7889   0.9798
0.8942   0.9899
1.0000   1.0000
0.0000   1.0101
