0.0000 0.0000
0.0101 0.0394
0.0202 0.0745
0.0303 0.1054
0.0404 0.1324
0.0505 0.1559
0.0606 0.1762
0.0707 0.1938
0.0808 0.2090
0.0909 0.2222
0.1010 0.2337
0.1111 0.2437
0.1212 0.2527
0.1313 0.2606
0.1414 0.2677
0.1515 0.2741
0.1616 0.2797
0.1717 0.2846
0.1818 0.2887
0.1919 0.2921
0.2020 0.2947
0.2121 0.2965
0.2222 0.2974
0.2323 0.2974
0.2424 0.2965
0.2525 0.2947
0.2626 0.2919
0.2727 0.2882
0.2828 0.2835
0.2929 0.2780
0.3030 0.2715
0.3131 0.2643
0.3232 0.2563
0.3333 0.2476
0.3434 0.2382
0.3535 0.2282
0.3636 0.2177
0.3737 0.2067
0.3838 0.1954
0.3939 0.1837
0.4040 0.1718
0.4141 0.1596
0.4242 0.1473
0.4343 0.1349
0.4444 0.1224
0.4545 0.1098
0.4646 0.0973
0.4747 0.0847
0.4848 0.0722
0.4949 0.0597
0.5051 0.0473
0.5152 0.0349
0.5253 0.0226
0.5354 0.0103
0.5455 -0.0019
0.5556 -0.0141
0.5657 -0.0262
0.5758 -0.0383
0.5859 -0.0504
0.5960 -0.0625
0.6061 -0.0747
0.6162 -0.0869
0.6263 -0.0992
0.6364 -0.1116
0.6465 -0.1242
0.6566 -0.1369
0.6667 -0.1500
0.6768 -0.1633
0.6869 -0.1770
0.6970 -0.1912
0.7071 -0.2059
0.7172 -0.2212
0.7273 -0.2372
0.7374 -0.2539
0.7475 -0.2713
0.7576 -0.2894
0.7677 -0.3082
0.7778 -0.3275
0.7879 -0.3471
0.7980 -0.3666
0.8081 -0.3856
0.8182 -0.4035
0.8283 -0.4196
0.8384 -0.4329
0.8485 -0.4425
0.8586 -0.4476
0.8687 -0.4471
0.8788 -0.4403
0.8889 -0.4265
0.8990 -0.4057
0.9091 -0.3780
0.9192 -0.3438
0.9293 -0.3043
0.9394 -0.2607
0.9495 -0.2145
0.9596 -0.1675
0.9697 -0.1211
0.9798 -0.0770
0.9899 -0.0363
1.0000 0.0000
1.0101 0.0000
